/people/person/places_lived./people/place_lived/location	/base/biblioness/bibs_location/country
/people/person/employment_history./business/employment_tenure/company	/education/educational_institution/students_graduates./education/education/student	/people/person/place_of_birth
/people/person/employment_history./business/employment_tenure/company	/organization/organization/headquarters./location/mailing_address/state_province_region	/location/administrative_division/first_level_division_of
/people/person/employment_history./business/employment_tenure/company	/organization/organization/headquarters./location/mailing_address/state_province_region	/base/aareas/schema/administrative_area/administrative_parent
/people/person/employment_history./business/employment_tenure/company	/organization/organization/headquarters./location/mailing_address/citytown	/base/biblioness/bibs_location/country
/people/person/employment_history./business/employment_tenure/company	/organization/organization_member/member_of./organization/organization_membership/organization	/organization/organization/headquarters./location/mailing_address/country
/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/release_date_s./film/film_regional_release_date/film_release_region
/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend	/film/actor/film./film/performance/film	/film/film/release_date_s./film/film_regional_release_date/film_release_region
/people/person/spouse_s./people/marriage/type_of_union	/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony	/base/locations/continents/countries_within
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/location/location/adjoin_s./location/adjoining_relationship/adjoins
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/military/military_combatant/military_conflicts./military/military_combatant_group/combatants
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/country	/military/military_combatant/military_conflicts./military/military_combatant_group/combatants
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/release_date_s./film/film_regional_release_date/film_release_region
/film/actor/film./film/performance/film	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/location/location/adjoin_s./location/adjoining_relationship/adjoins
/film/actor/film./film/performance/film	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/military/military_combatant/military_conflicts./military/military_combatant_group/combatants
/film/actor/film./film/performance/film	/film/film/country	/military/military_combatant/military_conflicts./military/military_combatant_group/combatants
/film/actor/film./film/performance/film	/film/film/country	/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to
/film/actor/film./film/performance/film	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to
/film/actor/film./film/performance/film	/film/film/release_date_s./film/film_regional_release_date/film_release_region
/award/award_winner/awards_won./award/award_honor/award_winner	/film/actor/film./film/performance/film	/film/film/country
/award/award_winner/awards_won./award/award_honor/award_winner	/film/actor/film./film/performance/film	/film/film/featured_film_locations
/award/award_winner/awards_won./award/award_honor/award_winner	/film/actor/film./film/performance/film	/film/film/release_date_s./film/film_regional_release_date/film_release_region
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/film/actor/film./film/performance/film	/film/film/release_date_s./film/film_regional_release_date/film_release_region
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/release_date_s./film/film_regional_release_date/film_release_region
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/film/actor/film./film/performance/film	/film/film/featured_film_locations
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/film/actor/film./film/performance/film	/film/film/country
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/featured_film_locations
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/country
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/film/director/film	/film/film/featured_film_locations
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/film/director/film	/film/film/country
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/film/director/film	/film/film/release_date_s./film/film_regional_release_date/film_release_region
/award/award_winner/awards_won./award/award_honor/award_winner	/film/director/film	/film/film/featured_film_locations
/award/award_winner/awards_won./award/award_honor/award_winner	/film/director/film	/film/film/country
/award/award_winner/awards_won./award/award_honor/award_winner	/film/director/film	/film/film/release_date_s./film/film_regional_release_date/film_release_region
/film/actor/film./film/performance/film	/film/film/country	/location/location/adjoin_s./location/adjoining_relationship/adjoins
/film/actor/film./film/performance/film	/film/film/featured_film_locations	/base/aareas/schema/administrative_area/administrative_parent
/film/actor/film./film/performance/film	/film/film/featured_film_locations	/base/biblioness/bibs_location/country
/film/actor/film./film/performance/film	/film/film/featured_film_locations	/location/administrative_division/first_level_division_of
/film/actor/film./film/performance/film	/film/film/featured_film_locations
/film/actor/film./film/performance/film	/film/film/country
/people/person/languages	/language/human_language/countries_spoken_in	/military/military_combatant/military_conflicts./military/military_combatant_group/combatants
/people/person/languages	/media_common/netflix_genre/titles	/film/film/release_date_s./film/film_regional_release_date/film_release_region
/people/person/languages	/language/human_language/countries_spoken_in	/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to
/award/award_winner/awards_won./award/award_honor/award_winner	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/featured_film_locations
/award/award_winner/awards_won./award/award_honor/award_winner	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/country
/award/award_winner/awards_won./award/award_honor/award_winner	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/release_date_s./film/film_regional_release_date/film_release_region
/award/award_winner/awards_won./award/award_honor/award_winner	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/runtime./film/film_cut/film_release_region
/award/award_winner/awards_won./award/award_honor/award_winner	/film/actor/film./film/performance/film	/film/film/runtime./film/film_cut/film_release_region
/award/award_winner/awards_won./award/award_honor/award_winner	/people/person/spouse_s./people/marriage/type_of_union	/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony
/award/award_winner/awards_won./award/award_honor/award_winner	/people/person/places_lived./people/place_lived/location	/base/biblioness/bibs_location/country
/award/award_winner/awards_won./award/award_honor/award_winner	/people/person/place_of_birth	/base/biblioness/bibs_location/country
/award/award_nominee/award_nominations./award/award_nomination/award	/award/award_category/nominees./award/award_nomination/nominated_for	/film/film/featured_film_locations
/award/award_nominee/award_nominations./award/award_nomination/award	/award/award_category/nominees./award/award_nomination/nominated_for	/film/film/release_date_s./film/film_regional_release_date/film_release_region
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/country	/location/location/adjoin_s./location/adjoining_relationship/adjoins
/award/award_nominee/award_nominations./award/award_nomination/award	/award/award_category/nominees./award/award_nomination/nominated_for	/film/film/runtime./film/film_cut/film_release_region
/people/person/places_lived./people/place_lived/location	/location/location/adjoin_s./location/adjoining_relationship/adjoins	/base/aareas/schema/administrative_area/administrative_parent
/people/person/places_lived./people/place_lived/location	/location/location/adjoin_s./location/adjoining_relationship/adjoins	/location/administrative_division/first_level_division_of
/people/person/places_lived./people/place_lived/location	/location/location/adjoin_s./location/adjoining_relationship/adjoins	/location/administrative_division/country
/people/person/places_lived./people/place_lived/location	/base/aareas/schema/administrative_area/administrative_parent
/people/person/places_lived./people/place_lived/location	/location/administrative_division/first_level_division_of
/music/artist/track_contributions./music/track_contribution/role	/music/performance_role/regular_performances./music/group_membership/group	/music/artist/origin
/film/actor/film./film/performance/film	/film/film/distributors./film/film_film_distributor_relationship/region	/location/location/contains
/music/group_member/membership./music/group_membership/role	/music/performance_role/regular_performances./music/group_membership/group	/music/artist/origin
/music/group_member/membership./music/group_membership/role	/music/instrument/instrumentalists	/people/person/places_lived./people/place_lived/location
/music/group_member/membership./music/group_membership/role	/music/instrument/instrumentalists	/music/artist/origin
/music/artist/track_contributions./music/track_contribution/role	/music/instrument/instrumentalists	/people/person/places_lived./people/place_lived/location
/music/artist/track_contributions./music/track_contribution/role	/music/instrument/instrumentalists	/music/artist/origin
/base/popstra/celebrity/dated./base/popstra/dated/participant	/people/person/spouse_s./people/marriage/type_of_union	/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony
/people/person/spouse_s./people/marriage/location_of_ceremony	/base/biblioness/bibs_location/country	/location/location/contains
/people/person/spouse_s./people/marriage/location_of_ceremony	/base/popstra/location/vacationers./base/popstra/vacation_choice/vacationer	/people/person/places_lived./people/place_lived/location
/people/person/spouse_s./people/marriage/location_of_ceremony	/location/location/contains	/organization/organization/headquarters./location/mailing_address/state_province_region
/people/person/spouse_s./people/marriage/location_of_ceremony	/location/location/contains	/base/biblioness/bibs_location/country
/music/artist/contribution./music/recording_contribution/performance_role	/music/performance_role/regular_performances./music/group_membership/group	/music/artist/origin
/influence/influence_node/influenced_by	/people/person/spouse_s./people/marriage/type_of_union	/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony
/award/award_nominee/award_nominations./award/award_nomination/award	/award/award_category/winners./award/award_honor/award_winner	/people/person/places_lived./people/place_lived/location
/film/actor/film./film/performance/film	/film/film/country	/dataworld/gardening_hint/split_to
/film/actor/film./film/performance/film	/tv/tv_program/country_of_origin
/film/actor/film./film/performance/film	/tv/tv_program/country_of_origin	/dataworld/gardening_hint/split_to
/people/deceased_person/place_of_death	/location/location/contains	/base/biblioness/bibs_location/country
/people/deceased_person/place_of_death	/location/location/contains	/organization/organization/headquarters./location/mailing_address/country
/people/deceased_person/place_of_death	/film/film_subject/films	/film/film/country
/people/deceased_person/place_of_death	/base/biblioness/bibs_location/state	/location/administrative_division/first_level_division_of
/people/deceased_person/place_of_death	/base/biblioness/bibs_location/state	/base/aareas/schema/administrative_area/administrative_parent
/people/person/places_lived./people/place_lived/location	/location/location/contains	/organization/organization/headquarters./location/mailing_address/country
/people/person/places_lived./people/place_lived/location	/location/hud_county_place/place	/base/biblioness/bibs_location/country
/people/person/places_lived./people/place_lived/location	/film/film_subject/films	/film/film/country
/people/person/places_lived./people/place_lived/location	/base/biblioness/bibs_location/country	/dataworld/gardening_hint/split_to
/people/person/places_lived./people/place_lived/location	/base/biblioness/bibs_location/state	/location/administrative_division/first_level_division_of
/people/person/places_lived./people/place_lived/location	/base/biblioness/bibs_location/state	/base/aareas/schema/administrative_area/administrative_parent
/people/person/languages	/language/human_language/countries_spoken_in	/base/biblioness/bibs_location/country
/people/person/languages	/language/human_language/countries_spoken_in	/location/administrative_division/country
/people/person/religion	/media_common/netflix_genre/titles	/film/film/country
/people/person/religion	/media_common/netflix_genre/titles	/film/film/release_date_s./film/film_regional_release_date/film_release_region
/people/person/place_of_birth	/location/location/contains	/organization/organization/headquarters./location/mailing_address/country
/people/person/place_of_birth	/location/administrative_division/country
/people/person/place_of_birth	/location/administrative_division/country	/dataworld/gardening_hint/split_to
/people/person/place_of_birth	/location/location/contains	/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location
/people/person/place_of_birth	/location/location/adjoin_s./location/adjoining_relationship/adjoins	/base/biblioness/bibs_location/country
/people/person/place_of_birth	/location/location/adjoin_s./location/adjoining_relationship/adjoins	/base/aareas/schema/administrative_area/administrative_parent
/people/person/place_of_birth	/location/location/adjoin_s./location/adjoining_relationship/adjoins	/location/administrative_division/country
/people/person/place_of_birth	/location/location/adjoin_s./location/adjoining_relationship/adjoins	/location/administrative_division/first_level_division_of
/people/person/place_of_birth	/location/location/contains	/base/biblioness/bibs_location/country
/people/person/place_of_birth	/base/aareas/schema/administrative_area/administrative_parent	/location/administrative_division/country
/people/person/place_of_birth	/base/aareas/schema/administrative_area/administrative_parent	/base/aareas/schema/administrative_area/administrative_parent
/people/person/place_of_birth	/base/aareas/schema/administrative_area/administrative_parent	/base/biblioness/bibs_location/country
/people/person/place_of_birth	/base/biblioness/bibs_location/state	/location/administrative_division/country
/people/person/place_of_birth	/base/biblioness/bibs_location/state	/base/aareas/schema/administrative_area/administrative_parent
/people/person/place_of_birth	/base/biblioness/bibs_location/state	/base/biblioness/bibs_location/country
/people/person/places_lived./people/place_lived/location	/location/administrative_division/country
/people/person/places_lived./people/place_lived/location	/location/administrative_division/country	/dataworld/gardening_hint/split_to
/people/person/places_lived./people/place_lived/location	/location/location/adjoin_s./location/adjoining_relationship/adjoins	/base/biblioness/bibs_location/country
/people/person/places_lived./people/place_lived/location	/base/aareas/schema/administrative_area/administrative_parent	/location/administrative_division/country
/people/person/places_lived./people/place_lived/location	/base/aareas/schema/administrative_area/administrative_parent	/base/aareas/schema/administrative_area/administrative_parent
/people/person/places_lived./people/place_lived/location	/base/aareas/schema/administrative_area/administrative_parent	/base/biblioness/bibs_location/country
/people/person/places_lived./people/place_lived/location	/base/biblioness/bibs_location/state	/location/administrative_division/country
/people/person/places_lived./people/place_lived/location	/base/biblioness/bibs_location/state	/base/biblioness/bibs_location/country
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/people/person/places_lived./people/place_lived/location	/base/aareas/schema/administrative_area/administrative_parent
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/people/person/places_lived./people/place_lived/location	/location/administrative_division/country
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/people/person/places_lived./people/place_lived/location	/location/administrative_division/first_level_division_of
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/country
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/country	/dataworld/gardening_hint/split_to
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/tv/tv_program/country_of_origin
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/production_companies	/organization/organization/headquarters./location/mailing_address/country
/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity	/film/actor/film./film/performance/film	/film/film/release_date_s./film/film_regional_release_date/film_release_region
/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity	/film/actor/film./film/performance/film	/film/film/country
/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/country
/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity	/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program	/tv/tv_program/country_of_origin
/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/tv/tv_program/country_of_origin
/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity	/film/actor/film./film/performance/film	/film/film/runtime./film/film_cut/film_release_region
/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity	/people/person/spouse_s./people/marriage/type_of_union	/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony
/celebrities/celebrity/sexual_relationships./celebrities/romantic_relationship/celebrity	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/release_date_s./film/film_regional_release_date/film_release_region
/people/person/spouse_s./people/marriage/spouse	/film/actor/film./film/performance/film	/film/film/release_date_s./film/film_regional_release_date/film_release_region
/people/person/spouse_s./people/marriage/spouse	/film/actor/film./film/performance/film	/film/film/country
/people/person/spouse_s./people/marriage/spouse	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/country
/people/person/spouse_s./people/marriage/spouse	/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program	/tv/tv_program/country_of_origin
/people/person/spouse_s./people/marriage/spouse	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/tv/tv_program/country_of_origin
/people/person/spouse_s./people/marriage/spouse	/film/actor/film./film/performance/film	/film/film/runtime./film/film_cut/film_release_region
/people/person/spouse_s./people/marriage/spouse	/people/person/spouse_s./people/marriage/type_of_union	/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony
/people/person/spouse_s./people/marriage/spouse	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/release_date_s./film/film_regional_release_date/film_release_region
/base/popstra/celebrity/dated./base/popstra/dated/participant	/film/actor/film./film/performance/film	/film/film/release_date_s./film/film_regional_release_date/film_release_region
/base/popstra/celebrity/dated./base/popstra/dated/participant	/film/actor/film./film/performance/film	/film/film/country
/base/popstra/celebrity/dated./base/popstra/dated/participant	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/country
/base/popstra/celebrity/dated./base/popstra/dated/participant	/tv/tv_personality/tv_regular_appearances./tv/tv_regular_personal_appearance/program	/tv/tv_program/country_of_origin
/base/popstra/celebrity/dated./base/popstra/dated/participant	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/tv/tv_program/country_of_origin
/base/popstra/celebrity/dated./base/popstra/dated/participant	/film/actor/film./film/performance/film	/film/film/runtime./film/film_cut/film_release_region
/base/popstra/celebrity/dated./base/popstra/dated/participant	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/release_date_s./film/film_regional_release_date/film_release_region
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/film/actor/film./film/performance/film	/film/film/runtime./film/film_cut/film_release_region
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/film/actor/film./film/performance/film	/tv/tv_program/country_of_origin
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/runtime./film/film_cut/film_release_region
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/people/person/place_of_birth	/location/administrative_division/first_level_division_of
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/people/person/place_of_birth	/base/aareas/schema/administrative_area/administrative_parent
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/people/person/place_of_birth	/location/administrative_division/country
/film/actor/film./film/performance/film	/film/film/distributors./film/film_film_distributor_relationship/region	/military/military_combatant/military_conflicts./military/military_combatant_group/combatants
/film/actor/film./film/performance/film	/film/film/distributors./film/film_film_distributor_relationship/region	/location/statistical_region/places_exported_to./location/imports_and_exports/exported_to
/film/actor/film./film/performance/film	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/dataworld/gardening_hint/split_to
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/base/popstra/celebrity/friendship./base/popstra/friendship/participant	/government/politician/government_positions_held./government/government_position_held/jurisdiction_of_office
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/people/person/spouse_s./people/marriage/location_of_ceremony	/base/biblioness/bibs_location/country
/film/actor/film./film/performance/film	/award/award_winning_work/awards_won./award/award_honor/honored_for	/film/film/country
/film/actor/film./film/performance/film	/award/award_winning_work/awards_won./award/award_honor/honored_for	/film/film/release_date_s./film/film_regional_release_date/film_release_region
/film/actor/film./film/performance/film	/film/film/story_by	/people/deceased_person/place_of_death
/film/actor/film./film/performance/film	/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for	/film/film/country
/film/actor/film./film/performance/film	/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for	/film/film/runtime./film/film_cut/film_release_region
/influence/influence_node/influenced_by	/people/person/places_lived./people/place_lived/location	/base/aareas/schema/administrative_area/administrative_parent
/influence/influence_node/influenced_by	/people/person/places_lived./people/place_lived/location	/base/biblioness/bibs_location/country
/influence/influence_node/influenced_by	/people/person/places_lived./people/place_lived/location	/location/administrative_division/country
/influence/influence_node/influenced_by	/people/person/places_lived./people/place_lived/location	/location/administrative_division/first_level_division_of
/people/person/place_of_birth	/location/administrative_division/country	/location/location/contains
/people/person/place_of_birth	/base/biblioness/bibs_location/country	/location/location/contains
/people/person/place_of_birth	/location/hud_county_place/place	/base/biblioness/bibs_location/country
/people/person/place_of_birth	/base/biblioness/bibs_location/country
/people/person/place_of_birth	/base/biblioness/bibs_location/country	/dataworld/gardening_hint/split_to
/base/popstra/celebrity/dated./base/popstra/dated/participant	/people/person/places_lived./people/place_lived/location	/location/administrative_division/country
/base/popstra/celebrity/dated./base/popstra/dated/participant	/people/person/places_lived./people/place_lived/location	/location/administrative_division/first_level_division_of
/base/popstra/celebrity/dated./base/popstra/dated/participant	/people/person/places_lived./people/place_lived/location	/base/aareas/schema/administrative_area/administrative_parent
/base/popstra/celebrity/dated./base/popstra/dated/participant	/people/person/places_lived./people/place_lived/location	/base/biblioness/bibs_location/country
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/release_date_s./film/film_regional_release_date/film_release_region	/dataworld/gardening_hint/split_to
/film/actor/film./film/performance/film	/film/film/featured_film_locations	/location/administrative_division/country
/film/actor/film./film/performance/film	/award/award_winning_work/awards_won./award/award_honor/award_winner	/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/tv/tv_program/country_of_origin
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/tv/tv_program/country_of_origin	/dataworld/gardening_hint/split_to
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/award/award_winning_work/awards_won./award/award_honor/award_winner	/base/schemastaging/organization_extra/phone_number./base/schemastaging/phone_sandbox/service_location
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/featured_film_locations	/location/administrative_division/country
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/film/film/featured_film_locations	/location/administrative_division/first_level_division_of
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/film/director/film	/film/film/runtime./film/film_cut/film_release_region
/film/actor/film./film/performance/film	/film/film/production_companies	/organization/organization/headquarters./location/mailing_address/country
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/people/person/places_lived./people/place_lived/location
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/award/award_winner/awards_won./award/award_honor/award_winner	/people/person/places_lived./people/place_lived/location
/award/award_nominee/award_nominations./award/award_nomination/award_nominee	/film/actor/film./film/performance/film	/film/film/distributors./film/film_film_distributor_relationship/region
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for	/film/film/country
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/award/award_nominated_work/award_nominations./award/award_nomination/nominated_for	/film/film/release_date_s./film/film_regional_release_date/film_release_region
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/award/award_winning_work/awards_won./award/award_honor/honored_for	/film/film/country
/award/award_nominee/award_nominations./award/award_nomination/nominated_for	/award/award_winning_work/awards_won./award/award_honor/honored_for	/film/film/release_date_s./film/film_regional_release_date/film_release_region
/people/person/profession	/media_common/netflix_genre/titles	/film/film/release_date_s./film/film_regional_release_date/film_release_region
/people/person/profession	/media_common/netflix_genre/titles	/film/film/country
/award/award_winner/awards_won./award/award_honor/award_winner	/people/person/places_lived./people/place_lived/location	/location/administrative_division/country
/award/award_winner/awards_won./award/award_honor/award_winner	/people/person/places_lived./people/place_lived/location	/base/aareas/schema/administrative_area/administrative_parent
